gender,Shrawan,Bhadra,Ashoj,Kartik,Mangsir,Paush,Magh,Falgun,Chaitra,Baisakh,Jestha,Ashad
Female,16,17,25,32,17,17,17,17,4,0,1,3
Male,24,30,36,64,53,61,40,42,10,4,3,7
