tims_months,free_individual_trekkers_non_SAARC,free_individual_trekkers_SAARC,group_trekkers_non_SAARC,group_trekkers_SAARC
January,503,325,4300,0
February,934,124,2600,0
March,1191,135,2000,0
April,0,0,0,0
May,0,0,0,0
June,0,0,0,0
July,0,0,0,0
August,0,0,0,0
September,0,0,0,0
October,0,0,0,0
November,0,0,0,0
December,0,0,500,0
