gender,Shrawan,Bhadra,ashoj,Kartik,Mangsir,Paush,Magh,Falgun,Chaitra,Baisakh,Jestha,ashad
Female,18,12,20,48,17,11,13,9,14,30,21,8
Male,32,23,45,32,37,42,24,23,44,52,34,24
