indicators,2019,2020
National Parks and Wildlife Reserve,429764,NA
Pashupati Area(excluding Indian),171937,25400
Lumbini (excluding Indian Tourists),173083,45469
Manaslu Trekking,6070,360
Mustang Trekking,3739,62
HumlaTrekking,8670,22
Lower Dolpa Trekking,1360,12
Kanchanjunga Trekking,911,55
Upper Dolpa Trekking,530,1
